id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1,0.000011,udp,-,INT,2,0,496,0,909.090.902,254,0,180363632,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,248,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0
2,0.000008,udp,-,INT,2,0,1762,0,1.250.000.003,254,0,881000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,881,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0
3,0.000005,udp,-,INT,2,0,1068,0,2.000.000.051,254,0,854400000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,534,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0
4,0.000006,udp,-,INT,2,0,900,0,1.666.666.608,254,0,600000000,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,450,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,Normal,0
5,0.00001,udp,-,INT,2,0,2126,0,1.000.000.025,254,0,850400000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,Normal,0
6,0.000003,udp,-,INT,2,0,784,0,3.333.333.215,254,0,1045333312,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,392,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,Normal,0
7,0.000006,udp,-,INT,2,0,1960,0,1.666.666.608,254,0,1306666624,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,980,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,Normal,0
8,0.000028,udp,-,INT,2,0,1384,0,3.571.428.522,254,0,197714288,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,692,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0
9,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60.000.688,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
10,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60.000.712,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
11,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60.000.688,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
12,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60.000.712,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
13,0.000004,udp,-,INT,2,0,1454,0,2.500.000.006,254,0,1454000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,727,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0
14,0.000007,udp,-,INT,2,0,2062,0,1.428.571.409,254,0,1178285696,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0
15,0.000011,udp,-,INT,2,0,2040,0,909.090.902,254,0,741818176,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Normal,0
16,0.000004,udp,-,INT,2,0,1052,0,2.500.000.006,254,0,1052000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,526,0,0,0,3,2,1,1,1,3,0,0,0,2,3,0,Normal,0
17,0.000003,udp,-,INT,2,0,314,0,3.333.333.215,254,0,418666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,157,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0
18,0.00001,udp,-,INT,2,0,1774,0,1.000.000.025,254,0,709600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,887,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0
19,0.000002,udp,-,INT,2,0,1568,0,5.000.000.013,254,0,3136000000,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,784,0,0,0,3,2,1,1,1,2,0,0,0,1,2,0,Normal,0
20,0.000004,udp,-,INT,2,0,2054,0,2.500.000.006,254,0,2054000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,1027,0,0,0,3,2,1,1,1,2,0,0,0,2,2,0,Normal,0
21,0.00001,udp,-,INT,2,0,2170,0,1.000.000.025,254,0,868000000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0
22,0.000009,udp,-,INT,2,0,202,0,1.111.111.072,254,0,89777776,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,101,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0
23,0.00001,udp,-,INT,2,0,1334,0,1.000.000.025,254,0,533600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,667,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0
