id;tuits_ideas;#palabras;#longitud_ideas_tuits;tuit_o_idea;#etiquetadores;conoce_fuente;hecho_prom;contraar_prom;opinion_prom;argumento_prom;hecho_sum;contraar_sum;opinion_sum;argumento_sum;#menciones;#hashtags;#urls;replies_count;retweets_count;likes_count;reply_to
1;@LassoGuillermo Será q ya hacemos algo contra jueces corruptos y ya ponemos mano dura a la delincuencia o q estamos esperando?;21;126;0;2;1;0.00;0.00;5.00;0.50;0.00;0.00;0.00;0.50;1;0;0;0;0;0;2
2;@ZoomEcuador Delincuencia organizada y narcopolitica, que sinvergüenzas;7;71;0;2;1;1.00;0.00;5.00;0.00;2.00;0.00;0.00;0.00;1;0;0;0;0;0;2
3;@ZoomEcuador Delincuencia organizada y narcopolitica, que sinvergüenzas;7;71;0;1;0;0.33;0.00;4.00;1.67;0.67;0.00;6.00;8.67;1;0;0;0;0;0;2
4;@CevallosDayanne @PoliciaEcuador @CarrilloRosero @LassoGuillermo El problema es q se quedaron en el pasado marcial. Los sistemas d combate evolucionan a pasos gigantes como la delincuencia, el krav maga israeli hoy por hoy es el sistema + usado x los grup;40;255;1;2;1;3.00;0.00;3.00;0.00;2.00;0.00;2.00;0.00;4;0;0;1;0;1;5
5;@CevallosDayanne @PoliciaEcuador @CarrilloRosero @LassoGuillermo El problema es q se quedaron en el pasado marcial. Los sistemas d combate evolucionan a pasos gigantes como la delincuencia, el krav maga israeli hoy por hoy es el sistema + usado x los grup;40;255;1;3;0;1.00;0.00;3.67;2.33;0.00;0.00;4.67;8.67;4;0;0;1;0;1;5
6;@CevallosDayanne @PoliciaEcuador @CarrilloRosero @LassoGuillermo El problema es q se quedaron en el pasado marcial;14;114;0;2;1;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;4;0;0;1;0;1;5
7;Los sistemas d combate evolucionan a pasos gigantes como la delincuencia, el krav maga israeli hoy por hoy es el sistema + usado x los grup;26;139;0;2;1;1.50;0.00;4.50;0.00;0.50;0.00;0.50;0.00;0;0;0;1;0;1;5
8;@CevallosDayanne @PoliciaEcuador @CarrilloRosero @LassoGuillermo El problema es q se quedaron en el pasado marcial;14;114;0;3;0;0.00;0.00;3.33;1.67;0.00;0.00;16.67;16.67;4;0;0;1;0;1;5
9;Los sistemas d combate evolucionan a pasos gigantes como la delincuencia, el krav maga israeli hoy por hoy es el sistema + usado x los grup;26;139;0;3;0;2.00;0.00;2.33;2.33;2.00;0.00;12.67;10.67;0;0;0;1;0;1;5
10;@AbgVanegas @JorgeGlas Claro la delincuencia organizada y narcopolitica tienen más derechos que la gente trabajadora. Seguro saldrá enfermo a robar más. Sinvergüenzas;22;166;1;2;1;0.50;0.00;5.00;0.50;0.50;0.00;0.00;0.50;2;0;0;0;0;0;3
11;@AbgVanegas @JorgeGlas Claro la delincuencia organizada y narcopolitica tienen más derechos que la gente trabajadora. Seguro saldrá enfermo a robar más. Sinvergüenzas;22;166;1;2;0;0.00;1.00;4.67;2.50;0.00;6.00;0.67;12.50;2;0;0;0;0;0;3
12;Sinvergüenzas;1;13;0;1;1;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;3
13;Seguro saldrá enfermo a robar más;6;33;0;1;1;1.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;3
14;@AbgVanegas @JorgeGlas Claro la delincuencia organizada y narcopolitica tienen más derechos que la gente trabajadora;15;116;0;1;1;0.00;0.00;5.00;1.00;0.00;0.00;0.00;0.00;2;0;0;0;0;0;3
15;Seguro saldrá enfermo a robar más;6;33;0;3;0;0.00;0.00;5.00;1.00;0.00;0.00;0.00;6.00;0;0;0;0;0;0;3
16;@AbgVanegas @JorgeGlas Claro la delincuencia organizada y narcopolitica tienen más derechos que la gente trabajadora;15;116;0;2;0;0.00;0.00;3.67;2.50;0.00;0.00;4.67;4.50;2;0;0;0;0;0;3
17;Su trabajo efectivo ha logrado el éxito en la mayoría de sus misiones;13;69;0;1;1;5.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;1
18;Entrenando Krav Maga a la unidad élite de la Policía Nacional del Ecuador UNASE Unidad Nacional Antisecuestro y Extorsión, su misión rescatar y salvar vidas de la delincuencia;28;175;0;1;1;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;1
19;Entrenando Krav Maga a la unidad élite de la Policía Nacional del Ecuador UNASE Unidad Nacional Antisecuestro y Extorsión, su misión rescatar y salvar vidas de la delincuencia. Su trabajo efectivo ha logrado el éxito en la mayoría de sus misiones. @PoliciaEcuador https://t.co/8JV82ZO8cv;43;287;0;2;1;4.00;0.00;1.50;0.00;2.00;0.00;4.50;0.00;1;0;1;0;0;0;1
20;@PoliciaEcuador https://t;2;25;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;0;1;0;0;0;1
